,Federal Provider Number,Provider Name,Provider State,Survey Date,Survey Type,Deficiency Prefix,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency
32,395688,FRIENDSHIP VILLAGE OF SOUTH HI,PA,10/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/23/2019,1,Y,False
57,395704,"LAFAYETTE-REDEEMER, THE",PA,05/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/28/2019,1,Y,False
87,395500,TWIN LAKES REHABILITATION AND HEALTHCARE CENTER,PA,08/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/19/2019,1,Y,False
200,396075,AVALON PLACE,PA,02/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/01/2019,1,Y,False
228,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,PA,05/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/09/2019,1,Y,False
293,395840,"PATRIOT, A CHOICE COMMUNITY THE",PA,06/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/12/2019,1,Y,False
319,395877,HIGHLAND VIEW HEALTHCARE AND REHABILITATION CENTER,PA,11/09/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/26/2018,1,Y,False
324,396062,"INN AT FREEDOM VILLAGE,THE",PA,03/27/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/08/2019,1,Y,False
346,395695,GREENERY CENTER FOR REHAB AND NURSING,PA,09/27/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",11/15/2019,1,Y,False
380,395662,"SPRINGS AT THE WATERMARK, THE",PA,01/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/15/2019,1,Y,False
390,395687,YORK NURSING AND REHABILITATION CENTER,PA,06/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",07/30/2019,1,Y,False
392,395524,"GROVE AT NEW CASTLE, THE",PA,01/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/04/2019,1,Y,False
484,395561,REFORMED PRESBYTERIAN HOME,PA,10/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",12/03/2019,1,Y,False
551,395819,CARING HEART REHABILITATION AND NURSING CENTER,PA,11/27/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/25/2019,1,Y,False
552,395697,WOODLAND PARK REHAB CENTER,PA,01/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/10/2019,1,Y,False
558,425014,CARLYLE SENIOR CARE OF AIKEN,SC,11/30/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/30/2018,1,Y,False
568,015400,MEADOWVIEW NURSING CENTER,AL,02/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/04/2019,1,Y,False
597,395917,BRINTON MANOR NURSING AND REHABILITATION CENTER,PA,07/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/19/2019,1,Y,False
